header,description,platforms
EddScanStart,Sent by sensor to indicate the start of a new EDD scan run. Note: This event is currently not supported in macOS. Platforms: Windows Sent by sensor to indicate the start of a new EDD scan run.,macOS
EddScanStatus,Sent by sensor periodically to report the status of an on-going scan. Platforms: macOS Sent by sensor periodically to report the status of an on-going scan. Note: This event is currently not supported in macOS.,Windows
EksCluster,Snapshot of an AWS EKS cluster.,Public Cloud
EksFargateProfile,Snapshot of an AWS EKS Fargate profile.,Public Cloud
EksNodeGroup,Snapshot of an AWS EKS node group.,Public Cloud
ELFFileWritten,Emitted when a file has been written that contains a real ELF image header.,"Android, macOS, Linux, Windows"
EmailArchiveFileWritten,,macOS
EmailFileWritten,,"Linux, Windows, macOS"
EndOfProcess,"When a process that’s running on a host finishes, the sensor will count all of the events that were generated by that process, bundle the information in an EndOfProcess event, and send it to the cloud. This allows you to determine, for example, how many DNS requests a process made, how many directory creation events occurred, or how many network connections a process made.","Linux, Falcon Container, macOS, Windows"
EntropyScan,"File contents entropy, useful for identifying potentially malicious files.",Forensics
ErrorEvent,Event indicating a sensor error. Platforms: Kubernetes Platforms: Vmcluster,"Windows, Linux, Falcon Container, macOS"
EseFileWritten,,"Linux, Windows, macOS"
EtwComponentResponse,Event sent in when EtwComponent has initialized. AttemptNumber is no longer used.,Windows
EtwErrorEvent,An event that indicates that an error occurred which associated is with the ETW consumer.,Windows
EventLogCleared,This event is generated when a Windows event log is cleared.,Windows
EventTapInfo,Describes a macOS Event Tap. Event Taps allow for capturing of keyboard and mouse HID events.,Forensics
ExcelDocumentOpened,,Windows
ExecutableDeleted,This event indicates that an executable was deleted from the host. Platforms: Linux,"Windows, macOS"
ExtendedExploitMitigationViolatedDetectInfo,,Windows
FalconHostFileTamperingInfo,An event that describes the file event that triggered a Falcon sensor tampering indicator.,Windows
FalconHostRegTamperingInfo,An event that describes the registry event that triggered a Falcon sensor tampering indicator.,Windows
FalconProcessHandleOpDetectInfo,,Windows
FalconServiceStatus,A message from CsFalconService regarding the service and its servlets' lifecycle events.,Windows
FfcBytePatternScanResult,Describes a scanning result performed by the Falcon Forensics Collector.,Forensics
FileAccessOperationOverSMB,File access operations over a SMB user session.,Windows
FileContentsChanged,,Linux
FileCreateInfo,This event is generated when a file is created by a process.,"Windows, macOS, Linux, Falcon Container"
FileDeleted,"This event has been deprecated as of Falcon Sensor for Windows 4.16.7903, and Falcon Sensor for Mac 4.16.7801. Older sensors and existing data for these events will still appear, but new sensors utilize the FileOpenInfo event. This event is generated when a file deletion for a full file occurs. ADS deletions are not currently tracked with this event. Platforms: Android This event is generated when a file deletion for a full file occurs. ADS deletions are not currently tracked with this event. Platforms: Forensics File entry from a file observed in the recycle bin.",Windows
FileDeleteInfo,This event is generated when a file deletion for a full file occurs. ADS deletions are not currently tracked with this event.,"Windows, macOS, Linux"
FileDescriptorMonitor,,Forensics
FileDetectInfo,,"Linux, Windows, macOS"
FileEntry,"Some portion of a text file, either a single line or matched regular expression.",Forensics
FileExtendedAttrOperation,,macOS
FileHashesEvent,,Forensics
FileInfo,Error event for FileInfo response. Platforms: macOS FileInfo response with information about a file.,Forensics
FileIntegrityMonitorRuleMatched,"An event that contains data about a change to a directory, file, or registry key. Used with the FileVantage service. Platforms: macOS","Windows, Linux"
FileOfInterestBasicInfo,,"Linux, Windows, macOS"
FileOpenInfo,This event is generated when a file is opened by a process.,"Windows, macOS, Linux, Falcon Container"
FileRenameInfo,This event is generated when a file is renamed. Only sent as part of a detection.,"Windows, macOS, Linux, Falcon Container"
FileSetMode,Indicates the file permissions have been modified via chmod/fchmod/fchmodat.,"Linux, Falcon Container"
FileSignatureMismatch,On-demand scan for files with name extensions and header magic values.,Forensics
FileSignatureStatistics,On-demand scan for files with name extensions and header magic values.,Forensics
FilesStatisticInfo,Files statistic information.,Forensics
FileStatFsInfo,,Linux
FileSystemAttributesStatus,An event that contains info about the Filesystem attributes of the device.,iOS
FileSystemContainmentStatus,,Windows
FileSystemOperationBlocked,An event that indicates that a file system operation has been blocked. Platforms: macOS,Windows
FileSystemOperationDetectInfo,Informational event for a file system operation detection.,Windows
FileTimestampMetadata,"FileTime event is emitted per timestamp for a given file. This helps analysts build a timeline of file creation, access, and modification.",Forensics
FileTimestampsModified,An event that is emitted when a change occurs to the timestamps of a file.,Windows
FileVaultStatus,Contains information regarding the system FileVault (encrypted) state.,macOS
FileWrittenAndExecutedInContainer,A file was written and later executed in a container.,"Linux, Falcon Container"
FileWrittenWithEntropyHigh,,"Windows, Linux"
FirewallChangeOption,"A firewall configuration option has been changed, such as enabling or disabling the firewall. The data will indicate the initial process (command-line tool, custom utility, or GUI application) or remote address/hostname that resulted in this action.",Windows
FirewallDeleteRule,"A firewall rule has been deleted, such as removing a rule preventing inbound RDP connections. The data will indicate the initial process (command-line tool, custom utility, or GUI application) or remote address/hostname that resulted in this action.",Windows
FirewallDeleteRuleIP4,An event that notifies that an Ipv4 firewall rule has been deleted. The field 'IsUnique' will be TRUE if we are sending the rule due to a change which was detected while the sensor was running and will be FALSE if the sensor just started and we are sending all the rules.,macOS
FirewallDeleteRuleIP6,An event that notifies that an Ipv6 firewall rule has been deleted. The field 'IsUnique' will be TRUE if we are sending the rule due to a change which was detected while the sensor was running and will be FALSE if the sensor just started and we are sending all the rules.,macOS
FirewallDisabled,An event that is sent from the sensor when packet filter is disabled.,macOS
FirewallEnabled,An event that is sent from the sensor when packet filter is enabled.,macOS
FirewallRuleApplicationFailed,An event that indicates that the application of a firewall rule has failed. Platforms: macOS An event that indicates that the application of a firewall rule has failed. Platforms: Linux,Windows
FirewallRuleInfo,,Forensics
FirewallRuleIP4,,Forensics
FirewallRuleIP4Matched,"An event that indicates that a firewall rule has matched an IPv4 connection attempt. For situations where RuleMatchCountSinceLastReport > 1, the extra data, like process info, will be from only the most recent match. Platforms: Linux Platforms: macOS An event that indicates that a firewall rule has matched an IPv4 connection attempt. For situations where RuleMatchCountSinceLastReport > 1, the extra data, like process info, will be from only the most recent match.",Windows
FirewallRuleIP6,,Forensics
FirewallRuleIP6Matched,"An event that indicates that a firewall rule has matched an IPv6 connection attempt. For situations where RuleMatchCountSinceLastReport > 1, the extra data, like process info, will be from only the most recent match. Platforms: Linux Platforms: Windows An event that indicates that a firewall rule has matched an IPv6 connection attempt. For situations where RuleMatchCountSinceLastReport > 1, the extra data, like process info, will be from only the most recent match.",macOS
FirewallSetRule,"A firewall rule has been created or modified, such as a rule allowing inbound RDP connections. The data will indicate the initial process (command-line tool, custom utility, or GUI application) or remote address/hostname that resulted in this action.",Windows
FirewallSetRuleIP4,An event that indicates an IPv4 firewall rule has been created. The field 'IsUnique' will be TRUE if we are sending the rule due to a change which was detected while the sensor was running and will be FALSE if the sensor just started and we are sending all the rules.,macOS
FirewallSetRuleIP6,An event that indicates an IPv6 firewall rule has been created. The field 'IsUnique' will be TRUE if we are sending the rule due to a change which was detected while the sensor was running and will be FALSE if the sensor just started and we are sending all the rules.,macOS
FirmwareAnalysisErrorEvent,Indicates an occurrence of error associated with the Firmware Analysis feature.,"macOS, Windows"
FirmwareAnalysisHardwareData,This event contains hardware data collected by Firmware Analysis.,"macOS, Windows"
FirmwareAnalysisStatus,This event contains status of the FPnP filter driver.,"macOS, Windows"
FirmwareImageAnalyzed,Indicates that analysis of a firmware image was completed.,"macOS, Windows"
FirmwareRegionMeasured,Indicates that a certain region of a firmware image was measured. Platforms: Windows,macOS
FlashThreadCreateProcess,Thread associated with Flash activity created a process.,"macOS, Windows"
ForensicsCollectorLog,A log entry emitted by the Falcon Forensics Collector process.,Forensics
ForensicsCollectorOffline,Final event of a Forensics collection.,Forensics
ForensicsCollectorOnline,Marks the beginning of a Forensics collection.,Forensics
FreeArcFileWritten,,Windows
FsPostCreate,"This event has been deprecated as of Falcon Sensor for Windows 4.16.7903. Older sensors and existing data for these events will still appear, but new sensors utilize the FileCreateInfo event. This event is generated when a file is created by a process.",Windows
FsPostOpen,"This event has been deprecated as of Falcon Sensor for Windows 4.16.7903. Older sensors and existing data for these events will still appear, but new sensors utilize the FileOpenInfo event. This event is generated when a file is opened by a process. This event is only sent to the cloud for processes inside of a detection tree.",Windows
FsPostOpenSnapshotFile,Information about a file opened on a snapshot volume.,Windows
FsPostOpenUpImpersonating,"A reified FsPostOpen event that occurred in the context of a thread up-impersonating another user, and the context process was not a privileged account.",Windows
FsVolumeMounted,Provides information about a mounted volume. Platforms: Forensics,"Windows, macOS, iOS, Linux, Falcon Container"
FsVolumeReadInfo,,Windows
FsVolumeUnmounted,Provides information about an unmounted volume.,"Windows, macOS, iOS, Linux, Falcon Container"
FtpCommand,,Linux
GcpAsset,An event that contains GCP (Google Cloud Platform) Organization Metadata.,Public Cloud
GcpComputeDisk,An event that contains GCP (Google Cloud Platform) Compute Disk Configuration details.,Public Cloud
GcpComputeFirewall,An event that contains GCP (Google Cloud Platform) Compute Image configuration details.,Public Cloud
GcpComputeImage,An event that contains GCP (Google Cloud Platform) Compute Image configuration details.,Public Cloud
GcpComputeInstance,An event that contains GCP (Google Cloud Platform) Compute Instance configuration information.,Public Cloud
GcpComputeNetwork,An event that contains GCP (Google Cloud Platform) Compute Network configuration information.,Public Cloud
GcpComputeNetworkInterface,An event that contains GCP (Google Cloud Platform) Compute Network Interface configuration information.,Public Cloud
GcpComputeNetworkPeering,An event that contains GCP (Google Cloud Platform) Compute Network Peering configuration details.,Public Cloud
GcpComputeSubnetwork,An event that contains GCP (Google Cloud Platform) Compute Subnetwork configuration details.,Public Cloud
GcpIamServiceAccount,An event that contains GCP (Google Cloud Platform) IAM Service Account configuration details.,Public Cloud
GcpProject,An event that contains GCP (Google Cloud Platform) Project metadata.,Public Cloud
GenericFileWritten,An event that is emitted when a process is done writing to a file that doesn't match a more specific *FileWritten event. These events are currently generated for removable disks only. Platforms: macOS An event that is emitted when a process is done writing to a file that doesn't match a more specific *FileWritten event. These events are currently generated for removable disks only.,Windows
GetAsyncKeyStateEtwBatch,An event that indicates that an application called the GetAsyncKeyState API multiple times.,Windows
GifFileWritten,Emitted when a process is done writing a GIF image file.,"Linux, Windows, macOS"
GroupAccount,Describes an observed group account.,Forensics
GroupIdentity,"Provides the sensor boot unique mapping between GID, AuthenticationId, UserPrincipal, and UserSid. Platforms: Forensics",macOS
GzipFileWritten,Emitted when a file has been written that contains a real Gzip image header.,"Linux, Windows, macOS"
HarmfulAppData,"An event that contains the name, hash, and category of the harmful app.",Android
HeapSprayAttempt,Emitted when a process that had HeapSpray protections applied detects an invalid execution attempt.,Windows
HookedAndroidMethodFound,An event that indicates that a hooking framework such as Xposed has been found to have been loaded by the FalconMobile application. The FalconMobile application might have been compromised and the device might have been rooted.,Android
HookedDriverObject,This event describes the presence of a hooked pointer in a DRIVER_OBJECT structure.,Windows
HostedServiceStarted,"This event is emitted when a hosted service (that is, a service inside a SvcHost.exe binary) is started by the service control manager (SCM). ServiceDisplayName, TargetProcessId, ImageFileName and TargetThreadId are all for the new service. TargetThreadId is the primary thread of the new hosted service. The data will indicate the initial process (command-line tool, custom utility, or GUI application) or remote address/hostname that resulted in this action. Also, starting and stopping hosted services multiple times during boot might not always show up in this event due to caching done by the SCM.",Windows
HostedServiceStatusInfo,Status information includes loaded DLL for a hosted service.,Forensics
HostedServiceStopped,"This event is emitted when a hosted service (that is, a service inside a SvcHost.exe binary) is stopped by the service control manager (SCM). Unfortunately, the sensor is not currently capable of identifying who requested this operation. However, it can be used to confirm that this is a service stopping vs. a service crashing or being terminated. Also, starting and stopping hosted services multiple times during boot might not always show up in this event due to caching done by the SCM.",Windows
HostInfo,"This event is generated when: A host is turned on or rebooted A new Falcon sensor is installed on a host An existing Falcon sensor is updated A host is turned on or rebooted A new Falcon sensor is installed on a host An existing Falcon sensor is updated This event provides information about the host running the sensor. When searching for information about a specific host, you should use the much faster aid_master search capability instead of searching for HostInfo events Platforms: iOS, macOS This event is generated when: A host is turned on or rebooted A new Falcon sensor is installed on a host An existing Falcon sensor is updated A host is turned on or rebooted A new Falcon sensor is installed on a host An existing Falcon sensor is updated This event provides information about the host running the sensor. When searching for information about a specific host, you should use the much faster aid_master search capability instead of searching for HostInfo events Platforms: Windows Legacy",Windows
HostnameChanged,Sent by the hostname awareness actor to communicate change in hostname. Platforms: macOS,"Linux, Falcon Container"
HostTimeModified,,"Linux, Falcon Container"
HttpRequest,,"macOS, Linux"
HttpRequestDetect,An event that indicates a detection on an HTTP(S) request.,Windows
HttpRequestV2Detect,,Windows
HttpResponse,,"Linux, macOS"
HttpVisibilityStatus,An event that indicates that the status of the HTTP Visibility event source has been updated.,Windows
IBEBChannelFileEnforcementResponse,An event that sent installed browser extension blocking (IBEB) channel file policy enforcement response to cloud.,"macOS, Windows"
IdpCloudHealthCheck,,Windows
IdpCloudHealthConfigurationsGetResponse,,Windows
IdpCloudHealthConfigurationsSetResponse,,Windows
IdpCloudHealthStatus,,Windows
IdpConnectionsOverloadNotification,"IDP Traffic Inspection detected more than 15,000 concurrent connections in active enforcement mode.",Windows
IdpContainerRestarted,,Windows
IdpDcPerfReport,This event reports Domain Controller performance counter.,Windows
IdpDcTiConfiguration,,Windows
IdpEntityRiskScoreChange,,Public Cloud
IdpIdaasCorrelate,,"Windows, macOS"
IdpPacketDiversionConnectionsOverloadNotification,,Windows
IdpPacketDiversionLdapsConnectionsOverloadNotification,,Windows
IdpPolicyAccessRuleMatch,,Windows
IdpPolicyAccountEventRuleMatch,,Public Cloud
IdpPolicyAlertRuleMatch,,Public Cloud
IdpPolicyCloudAccessRuleMatch,,Public Cloud
IdpPolicyFederatedAccessRuleMatch,,Public Cloud
IdpTelemetryData,,Windows
IdpWatchdogConfigurationsGetResponse,,Windows
IdpWatchdogConfigurationsSetResponse,,Windows
IdpWatchdogReEnabled,,Windows
IdpWatchdogRemediationActionRequest,,Windows
IdpWatchdogRemediationActionTaken,,Windows
IdpWatchdogRemediationActionTakenForCpu,,Windows
IdpWatchdogRemediationActionTakenForMemory,,Windows
IdwFileWritten,Emitted when a process is done writing an IDW file.,Windows
ImageHash,This event is generated for each DLL or executable loaded into a process’ memory.,"Windows, Linux, Falcon Container, macOS"
ImapCommand,,"Linux, Windows"
ImgExtensionFileWritten,,Windows
ImpersonationTokenInfo,"ImpersonationTokenInfo represents a security context for a general impersonation activity. Each ImpersonationTokenInfo can be linked to a corresponding UserIdentity by using the (UserSid, AuthenticationId) tuple.",Windows
InboundHttpHeader,,"Windows, Linux, macOS"
InboundHttpParsingStatus,,"macOS, Windows, Linux"
InjectedThread,"This event is generated when one process injects an execution thread into another process. While often associated with malicious activity, this is also common behavior for certain core operating system processes.",Windows
InjectedThreadFromUnsignedModule,This event contains information about a thread that was injected into a process from an unsigned module. It combines relevant information from the InjectedThread and SignInfoWithCertAndContext events.,Windows
InstallBundleDownloadComplete,An install bundle download has completed.,Windows
InstalledApplication,"An event that describes a single application. E.g. representing a newly installed application, one just removed, or one discovered during enumeration. Platforms: Forensics This event contains all the information for a single app. Platforms: macOS An event that describes a single application. E.g. representing a newly installed application, one just removed, or one discovered during enumeration. In the macOS version of this event, the UpdateFlag field only sends the value UPDATE_ENUMERATION (1). Platforms: Linux An event that describes a single application. E.g. representing a newly installed application, one just removed, or one discovered during enumeration.",Windows
InstalledBrowserExtension,"An event that contains information about installed browser extensions, including updates and removals. The event is sent when the sensor connects and every 48 hours thereafter. If no browser extensions are identified, a default event indicating no-extension-available is sent to the CrowdStrike cloud.","Windows, macOS"
InstalledUpdates,"An event that describes the updates installed on the system. The Status field will indicate if some error occurred when attempting to find installed updates. PendingUpdateIds will be an empty string if none are pending. The event is emitted once at startup, and then periodically after that.",Windows
InstallFromUnknownSourcesStatus,An event that contains info about third-party app installers on Android.,Android
InstallServiceDownloadComplete,An install service download has completed.,Windows
InstanceMetadata,"Metadata information about the instance on which the sensor is running. Platforms: Kubernetes, macOS","Windows, Linux, Falcon Container"
InternetExposureData,,"Windows, Linux, macOS"
IntrusivePackageDiscovered,,Android
IntrusiveProcessDiscovered,,iOS
IntrusivePropertyDiscovered,,Android
IOServiceRegister,This event describes an IOService being registered with a notification handler.,macOS
IoSessionConnected,An event that is emitted when an IO session has been connected.,Windows
IoSessionLoggedOn,An event that is emitted when an IO session has been logged off.,Windows
IPCDetectInfo,,Windows
IsoExtensionFileWritten,,Windows
JarFileWritten,This event is generated when a Java executable archive (.jar) file type is written to disk.,"Windows, macOS, Linux, Android"
JavaClassFileWritten,Emitted when a process is done writing a Java Class file.,"Windows, macOS, Linux"
JavaInjectedThread,This event is generated when Java injects a thread into another process.,Windows
JpegFileWritten,Emitted when a process is done writing a Jpeg image file.,"macOS, Linux, Windows"
JumpListInfo,,Forensics
K8SAdmissionReviewResult,,Kubernetes
K8SAdmissionReviewResultPrime,,Public Cloud
K8SCluster,Snapshot of Kubernetes cluster for mapping Kubernetes cluster id and name.,Public Cloud
K8SClusterInfo,,Kubernetes
K8SDaemonSet,Snapshot of a Daemon Set object in Kubernetes.,Public Cloud
K8SDeployment,Snapshot of a deployment object in Kubernetes.,Public Cloud
K8SEphemeralContainer,Snapshot of an ephemeral Container belonging to a Pod.,Public Cloud
K8SInitContainer,Snapshot of status for an Initialization(Init) Container inside a Pod.,Public Cloud
K8SInitContainerStatus,Snapshot of an Initialization(Init) Container belonging to a Pod,Public Cloud
K8SNode,Snapshot of a Node object in Kubernetes.,Public Cloud
K8SPod,Snapshot of a Pod object in Kubernetes.,Public Cloud
K8SProductConfig,,Kubernetes
K8SReplicaSet,Snapshot of a Replica Set object in Kubernetes.,Public Cloud
K8SResource,,Kubernetes
K8SRunningContainer,Snapshot of a running Container belonging to a Pod.,Public Cloud
K8SRunningContainerStatus,Snapshot of status for a running Container inside a Pod.,Public Cloud
K8SService,Snapshot of a Service object in Kubernetes.,Public Cloud
K8SSnapshot,,Kubernetes
K8SWatchStarted,,Kubernetes
K8SWatchStopped,,Kubernetes
KernelCallbackTablePatch,"An event that indicates that the KernelCallbackTable has been altered at the specified index. If present, CallstackModuleNames, Buffer, and MiniContext apply to the thread that modified the index, with Buffer being the bytes at the faulting address. MiniContext, if set, contains Edi, Esi, Ebx, Edx, Ecx, Eax, Ebp for 32-bit processes and Rax, Rcx, Rdx, Rbx, Rbp, Rsi, Rdi, R8-R15 on 64- bit.",Windows
KernelCallbackTableUpdate,An event that indicates that the ProcessEnvironmentBlock KernelCallbackTable field has been changed from its prior value. This might indicate an attempt to alter one of the callback routines.,Windows
KernelExtension,Describes a macOS kernel extension identified by the collector.,Forensics
KernelModeExecImage,Indicates a kernel Image has been loaded into memory.,"Linux, Falcon Container"
KernelModeLoadImage,Indicates a kernel-mode module has been loaded into memory.,"Windows, Forensics, Linux, Falcon Container, macOS"
KernelParameter,,Forensics
KernelServiceStarted,Indicated that a kernel service was started locally or remotely.,Windows
KextLoad,"Signals a Kernel Extension (KEXT) Load, triggered via a MAC hook.",macOS
KextUnload,"Signals a Kernel Extension (KEXT) Unload, triggered via a MAC hook.",macOS
KillProcessError,"If KillProcessActor fails to kill a process due to process being marked as system critical or for any other reason, this event is emitted.","Windows, macOS, Linux, Falcon Container"
LFODownloadComplete,,"Android, Vmcluster, Windows, iOS, Kubernetes, macOS, Linux, Falcon Container"
LFODownloadConfirmation,"Thrown when the agent receives an LFODownload event. Platforms: iOS Platforms: Vmcluster, Kubernetes","Windows, Linux, Falcon Container, macOS, Android"
LfoUploadDataComplete,"Platforms: macOS, Android, Windows, Linux Emitted when the LFOUploadActor has successfully uploaded a file to the cloud.","Vmcluster, Kubernetes"
LfoUploadDataFailed,"Emitted when the sensor has detected error(s) and has decided not to stop uploading a file to the cloud. LfoUploadExtendedStatus will indicate the detailed failure reason. Platforms: Kubernetes, Vmcluster","macOS, Android, Linux, Windows"
LfoUploadDataUnneeded,"Emitted when the sensor initiates a file upload, but the cloud has determined the file is not needed. A specific cloud reason will be provided in LfoUploadCloudStatus. Platforms: Kubernetes, Vmcluster","Windows, Linux, macOS, Android"
LfoUploadStart,"Emitted when the sensor initiates a file upload. Platforms: Vmcluster, Kubernetes","macOS, Windows, Android, Linux"
LhaFileWritten,,Windows
LightningUnresponsiveStatus,,"Windows, macOS"
LinkFileInfo,Link file information.,Forensics
LnkFileWritten,,"Windows, Linux, macOS"
LoadImage,Indicates a module has been loaded into memory.,"Windows, macOS, Linux, Falcon Container"
LocalGroupIdentity,"Group identity information includes user group name, GID, and names, UIDs and sid of user members.",Forensics
LocalIpAddressIP4,This event is generated when a host uses a new IPv4 network address. Platforms: Forensics,"macOS, iOS, Linux, Falcon Container, Windows, Android"
LocalIpAddressIP6,This event is generated when a host uses a new IPv6 network address. Platforms: Forensics,"macOS, Linux, Falcon Container, iOS, Windows, Android"
LocalIpAddressRemovedIP4,This event is generated when a host loses its IPv4 network address.,"Linux, Falcon Container, iOS, Windows, Android, macOS"
LocalIpAddressRemovedIP6,This event is generated when a host loses its IPv6 network address.,"macOS, iOS, Android, Linux, Falcon Container, Windows"
LocalWindowsUserUpdate,,Windows
LockdownModeStatus,,iOS
LockScreenStatus,An event that contains info about the device lock screen mechanism.,"Android, iOS"
LogCollectorDeploymentStatus,,"macOS, Linux, Windows"
LogEntry,A log entry observed on an endpoint.,Forensics
LoginItemAdded,,macOS
LogonBehaviorCompositionDetectInfo,,Windows
LowILModuleLoadAttempt,An event that indicates that a non-LowIL process attempted to load an untrusted LowIL module.,Windows
LRZipFileWritten,,"Windows, macOS, Linux"
LsassHandleFromUnsignedModule,This event contains information about a handle that was created to LSASS from an unsigned module.,Windows
LSQuarantineEvent,,Forensics
LZ4FileWritten,,"Linux, macOS, Windows"
LzfseFileWritten,,"Linux, macOS, Windows"
LZipFileWritten,,"Linux, Windows, macOS"
LzmaFileWritten,,"Windows, macOS, Linux"
LZOFileWritten,,"Windows, macOS, Linux"
MacFsEventRecord,"Mac fsevents record, forensically interesting filesystem logging/information.",Forensics
MachOFileWritten,Emitted when a process is done writing a MachO file.,"macOS, Linux, Windows"
MachOHeaderParsed,A MachO file was read into memory from disk and its header was parsed.,macOS
MacKnowledgeActivityEnd,An entry from a knowledgeC database indicating the end of some user activity on a MacOs system.,Forensics
MacKnowledgeActivityStart,An entry from a knowledgeC database indicating the start of some user activity on a MacOs system.,Forensics
MacMRU,"A digital forensics record derived from Apple SharedFileList (.sfl/.sfl2) files. This event helps identify most recently used resources (applications, documents, volumes, etc.).",Forensics
